"","State","fips","X","county_name.x","ev_market_penetration","n_charging_locations","gas_regular","gas_mid","gas_premium","gas_diesel","CENSUS_2020_POP","unemployment_rate_2022","Median_Household_Income_2021","RPP","Perc_Adults_Less_Than_HSD","Perc_Adults_Only_HSD","Perc_Adults_SmCollege","Perc_Adults_Bachelor_Or_Above","min_temp","max_temp","precipitation","avg_temp","Perc_Dem","Perc_Rep","log_income","Income_adjusted","log_Income_adjusted","Total","gas_tax"
"1","AK",2110,78,"Juneau City and Borough",0.08,16,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,32255,2.8,89922,103.66196091289,4.6,21,34.4,40.1,54,84.4,57.33,69.2,NA,NA,11.406697906873,867.454167450719,0.110037450636868,"$0.0895",0.0895
"2","AK",2122,79,"Kenai Peninsula Borough",0.02,12,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,58799,4.5,71111,101.787841298403,6,30.9,35.7,27.4,56.3,84.3,53.29,70.3,NA,NA,11.1719973154984,698.619786930443,0.109757680023358,"$0.0895",0.0895
"3","AK",2130,80,"Ketchikan Gateway Borough",0.03,0,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,13948,3.8,73260,102.222879743955,6,28.9,38.7,26.4,46.6,77.4,85.3,62,NA,NA,11.2017700363328,716.669303227414,0.109581828103363,"$0.0895",0.0895
"4","AK",2105,77,"Hoonah-Angoon Census Area",0,0,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,2365,NA,NA,98.8826983102934,6.3,36.5,34.9,22.3,38.2,69,46.81,53.6,NA,NA,NA,NA,NA,"$0.0895",0.0895
"5","AK",2158,82,"Kusilvak Census Area",0,0,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,8368,12.9,38203,96.2652437379162,20.4,55.6,21,2.9,59.1,88.6,21.49,73.8,NA,NA,10.5506693255424,396.851433774046,0.109599985580121,"$0.0895",0.0895
"6","AK",2164,83,"Lake and Peninsula Borough",0,0,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,1476,5.8,51205,97.1268911656877,10.7,40.7,26.3,22.2,53.5,72.7,260.57,63.1,NA,NA,10.8435924625095,527.196941912307,0.111643565776357,"$0.0895",0.0895
"7","AK",2170,84,"Matanuska-Susitna Borough",0.03,8,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,107081,4.6,80164,104.902023365619,6.3,33,37,23.7,54,75.4,302.44,64.7,NA,NA,11.2918298152733,764.179731029604,0.107641677948551,"$0.0895",0.0895
"8","AK",2180,85,"Nome Census Area",0.02,1,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,10046,6.9,65578,102.328097727283,12.4,43.6,25.7,18.4,46.8,69.1,269,58,NA,NA,11.0909955528308,640.860149426147,0.108386609339594,"$0.0895",0.0895
"9","AK",2185,86,"North Slope Borough",0,0,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,11031,5,95041,98.4504528570342,12.3,41.4,30.6,15.6,47.5,69.3,272.62,58.4,NA,NA,11.4620636564266,965.368845362395,0.116424692053691,"$0.0895",0.0895
"10","AK",2188,87,"Northwest Arctic Borough",0,0,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,7793,9,67586,100.638474056367,15.7,47.1,22.8,14.4,46.7,68.6,260.09,57.7,NA,NA,11.1211561399911,671.572185823739,0.110506009200439,"$0.0895",0.0895
"11","AK",2195,88,"Petersburg Borough",0.02,0,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,3398,NA,NA,98.8865416732603,8.5,31,32,28.4,53.2,74.8,315.63,64,NA,NA,NA,NA,NA,"$0.0895",0.0895
"12","AK",2198,89,"Prince of Wales-Hyder Census Area",0,0,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,5753,NA,NA,94.8304437680161,7.6,38.1,35.1,19.2,52.4,74.3,322.61,63.4,NA,NA,NA,NA,NA,"$0.0895",0.0895
"13","AK",2220,90,"Sitka City and Borough",0.05,0,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,8458,2.8,78248,104.016721337966,5.2,25.4,36.2,33.2,46.9,68.6,261.11,57.7,NA,NA,11.2676385489703,752.263664855965,0.108325261592894,"$0.0895",0.0895
"14","AK",2230,91,"Skagway Municipality",0.12,1,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,1240,NA,NA,99.8854404623176,9.5,33.5,31.9,25,54.4,74.3,309.58,64.4,NA,NA,NA,NA,NA,"$0.0895",0.0895
"15","AK",2240,92,"Southeast Fairbanks Census Area",0.02,1,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,6808,5.2,68347,97.6560220669362,7.4,38.1,35.1,19.3,51.4,73.7,309.29,62.6,NA,NA,11.1323529494551,699.874913532245,0.113995560271999,"$0.0895",0.0895
"16","AK",2261,93,"Valdez-Cordova Census Area",0,0,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,NA,NA,NA,NA,NA,NA,NA,NA,49.3,69.8,283.51,59.6,NA,NA,NA,NA,NA,"$0.0895",0.0895
"17","AK",2150,81,"Kodiak Island Borough",0.02,0,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,13101,4.3,80863,105.12862291081,9.5,28.2,33.2,29.2,46.1,76,66.48,61.1,NA,NA,11.300511643669,769.181577395942,0.107492244555094,"$0.0895",0.0895
"18","AK",2275,95,"Wrangell City and Borough",0.05,0,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,2127,NA,NA,98.9962832184207,15.2,37,32.6,15.2,52.3,73.2,328.41,62.8,NA,NA,NA,NA,NA,"$0.0895",0.0895
"19","AK",2282,96,"Yakutat City and Borough",0.25,0,4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,662,5.1,73014,99.0171096988664,5.4,44.6,39.7,10.3,52.8,74.7,293.45,63.7,NA,NA,11.1984064825649,737.387712306007,0.113095671208963,"$0.0895",0.0895
